Year,FIPS,State,County,Fair_Poor_Health_Perc,Phys_Unhealth_Days,Ment_Unhealth_Days,Smoke_Perc,Obese_Perc,Phys_Inac_Perc,Excess_Drink_Perc,Some_College_Perc_25_44,Some_Association_Per_10K,Some_Association_Rate,Severe_Housing_Perc,Insufficent_Sleep_Perc,Population,Zillow_Value
2017,01001,Alabama,Autauga,17.88,4.22,4.18,17.38,34.10,28.60,14.95,59.7,76,13.72,14.72,37.60,55347,165497.8241
2017,01003,Alabama,Baldwin,16.36,3.74,3.97,17.94,27.40,22.30,15.38,62.9,231,11.54,14.70,32.80,203709,224183.0926
2017,01005,Alabama,Barbour,25.02,4.81,4.77,22.78,44.40,31.80,11.92,39.3,22,8.18,16.20,39.60,26489,100951.5916
2017,01007,Alabama,Bibb,19.54,4.35,4.37,19.85,40.30,33.90,14.31,50.2,23,10.22,13.68,40.60,22583,130217.4224
2017,01009,Alabama,Blount,18.95,4.45,4.48,21.04,34.60,28.00,13.90,51.2,49,8.49,11.53,36.20,57673,149348.4166
2017,01011,Alabama,Bullock,28.26,4.96,4.57,22.77,43.00,31.70,11.38,33.6,11,10.22,18.05,44.10,10696,77372.42646
2017,01013,Alabama,Butler,26.62,5.24,4.98,21.83,36.30,34.40,11.38,43.3,24,11.82,16.45,40.60,20154,93155.81771
2017,01015,Alabama,Calhoun,22.00,4.91,4.67,20.32,32.20,31.30,14.66,54.0,170,14.67,14.88,39.00,115620,108485.4614
2017,01017,Alabama,Chambers,24.49,4.76,4.73,20.91,39.70,31.60,11.71,45.0,63,18.49,19.24,39.50,34123,88188.36474
2017,01019,Alabama,Cherokee,19.29,4.49,4.52,18.42,33.60,33.50,13.08,52.6,26,9.99,15.36,34.30,25859,145259.0991
2017,01021,Alabama,Chilton,20.85,4.66,4.49,20.11,35.90,30.40,14.20,40.2,70,15.93,15.62,38.90,43943,136152.2591
2017,01023,Alabama,Choctaw,24.95,4.97,4.68,20.48,40.80,30.00,10.44,49.7,28,21.02,12.95,42.50,13170,
2017,01025,Alabama,Clarke,22.90,4.86,4.70,20.06,38.20,27.50,11.87,41.1,49,19.64,15.16,38.90,24675,104431.0589
2017,01027,Alabama,Clay,21.09,4.59,4.61,19.14,37.30,31.70,12.86,41.9,13,9.59,15.49,36.10,13555,99510.53546
2017,01029,Alabama,Cleburne,17.24,4.08,4.31,18.29,30.00,30.10,14.61,48.0,13,8.62,13.84,32.80,15018,131521.7352
