FIPS,RegionName,State,FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2020,Anchorage Borough,AK,2020,146144.3161,169973.1478,186475.8294,195969.8382,209724.6331,229868.8594,249734.2695,264996.9155,270945.787,271038.6693,271812.37,266417.5091,273837.4173,286772.8314,293707.749,304919.1673,311721.6694,310289.3725,312758.8579,330962.7465,338964.0436,344423.7324,365491.1856,377498.0278,384018.9248
2090,Fairbanks North Star Borough,AK,2090,,,,,,188322.2179,207187.3553,225830.0115,230333.2676,225791.5991,225396.6155,225889.4469,225557.0955,224592.3804,220873.1976,225121.4489,233876.6726,243537.0955,252751.346,265862.9022,277602.7961,285834.8267,300548.1123,296752.7637,301036.6606
2100,Haines Borough,AK,2100,,,,,,,,,,,,,,,,,,,,,,284891.8249,315908.794,298008.7765,294193.3742
2110,Juneau Borough,AK,2110,,,,,,288122.4265,311470.7913,316694.4594,315279.2609,312792.6101,311104.3956,312774.4295,323010.7622,342495.6297,352534.8944,371273.2046,382412.0595,390606.2626,400703.1967,403704.8886,410297.1629,438899.8884,472640.2058,471557.8351,484183.0796
2122,Kenai Peninsula Borough,AK,2122,,,,,,188784.8115,196608.1417,201995.5728,206850.824,206424.293,206628.8973,207073.9301,210404.0747,213884.589,218229.4367,228862.0717,238913.0456,242379.9227,246408.6507,262770.8965,275274.9886,302507.239,331210.2765,324273.9276,325101.5396
2130,Ketchikan Gateway Borough,AK,2130,,,,,,219968.458,233295.183,241270.3295,239961.2732,238308.2302,236799.4088,234577.0412,238814.6399,247677.8324,254638.0968,268576.7632,278842.3035,287536.6785,303964.3714,323405.7613,343955.4257,369458.9159,392273.4393,392804.9051,387541.0131
2150,Kodiak Island Borough,AK,2150,,,,,,268688.4762,286188.2421,295898.246,294446.6354,288290.8686,282048.6825,301983.0168,315220.169,330975.9775,339504.2455,334607.718,318795.7943,322409.6865,336049.8277,366987.3326,388856.6456,415529.2244,449720.3633,424712.6087,405289.6413
2170,Matanuska-Susitna Borough,AK,2170,,,,,,195810.4431,210351.6807,219910.5927,219152.3912,217085.5786,215900.1522,215708.3137,218875.5764,223173.0952,227000.0779,240857.8777,250561.5233,254626.6407,255950.6309,279786.971,290842.9968,318930.3089,344688.3144,353462.9431,362373.1391
2185,North Slope Borough,AK,2185,,,,,,,,,,,,,,,,,181182.3905,175981.2663,204005.7036,231316.0799,240176.7407,255538.1585,248798.0535,240708.163,228870.4858
2195,Petersburg Borough,AK,2195,,,,,,,,,,,,,,,,,276041.5604,282357.4699,296219.2478,309781.567,326907.8778,356347.1056,365261.3801,321481.3098,318247.3986
2220,Sitka Borough,AK,2220,,,,,,,,,,,,,,,,,468229.5886,474341.0083,488129.0062,495478.4951,521773.6574,570802.9691,599365.0256,528679.7376,483843.0188
2240,Southeast Fairbanks Borough,AK,2240,,,,,,,,,,,,,,,,,235574.8537,230205.9288,245895.8287,250672.3565,271376.3741,319901.7469,359303.2536,315882.7204,327444.3798
2261,Valdez-Cordova Borough,AK,2261,,,,,,,,,,,,,,,,,264106.729,280078.7407,286758.6953,294762.9136,313340.0539,340389.8549,355860.5345,324446.7275,325946.5427
2275,Wrangell Borough,AK,2275,,,,,,,,,,,,,,,,,,,,,,,300823.8599,265524.4328,280412.0359
1001,Autauga County,AL,1001,120867.0908,125598.4423,127403.2913,131646.5579,136332.9095,145537.9453,156826.2453,162225.9459,163166.1241,159043.8344,152283.3585,147643.2763,148311.2229,151974.9153,154706.6122,159415.6928,163185.4973,165497.8241,169253.4343,175898.2008,186139.0998,202271.0579,225049.5706,233670.0242,239900.8779
