y2_state,destination_county_fips,out_return,out_individuals,out_gross_income,State_x,FIPS_x,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,short_county_code,State_y,FIPS_y,Year,X..Fair.Poor,Physically.Unhealthy.Days,Mentally.Unhealthy.Days,X..Smokers,X..Obese,X..Physically.Inactive,X..Excessive.Drinking,X..Some.College,Population.1,X..Some.College.1,X..Social.Associations,Association.Rate,X..Severe.Housing.Problems,X..Insufficient.Sleep
AK,0,364248,733000,22577044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1,48217,91547,2853137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,3,131234,269101,8294827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,13,2858,5475,157342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,13.0,2019.0,17.6,3.62,2.94,18.2,42.2,26.6,16.8,434.8,1005.6,43.2,1.6,4.8,13.0,143.0
AK,16,7417,15013,560418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,16.0,2019.0,15.6,3.22,2.7800000000000002,16.2,41.2,25.8,18.6,987.8,1892.8,52.239999999999995,2.8,4.92,19.0,94.6
AK,20,569940,1147243,51809926,AK,2020.0,146144.3161,169973.1478,186475.8294,195969.8382,209724.6331,229868.8594,249734.2695,264996.9155,270945.787,271038.6693,271812.37,266417.5091,273837.4173,286772.8314,293707.749,304919.1673,311721.6694,310289.3725,312758.8579,330962.7465,338964.0436,344423.7324,365491.1856,377498.0278,384018.9248,20.0,AK,20.0,2019.0,13.6,3.4799999999999995,3.3200000000000003,15.4,29.2,17.4,20.0,63400.2,89256.8,70.96000000000001,339.4,11.440000000000001,16.6,13097.8
AK,50,24387,63992,1168363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,50.0,2019.0,26.6,5.76,4.9799999999999995,32.4,31.0,28.2,19.4,1595.6,4651.8,34.36,7.2,4.0,60.2,550.8
AK,60,1609,2950,129070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,60.0,2019.0,15.4,3.8200000000000003,3.6799999999999997,20.0,40.6,25.4,21.8,139.6,227.6,61.379999999999995,0.6,6.540000000000001,13.8,59.2
AK,63,5132,10396,423285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,66,2046,4185,139323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,68,4198,7891,328416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,68.0,2019.0,12.6,3.3600000000000003,3.28,18.0,25.6,17.2,22.2,463.0,609.6,75.64,2.4,12.42,25.8,124.4
AK,70,7947,17653,451826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,70.0,2019.0,22.8,5.1,4.6,30.2,37.0,24.4,20.2,602.6,1244.2,48.46,1.6,3.2,37.8,205.2
AK,90,174474,360165,14011979,AK,2090.0,112590.46167970588,121476.34011203652,128755.47189233273,136777.27748262146,147539.4111473646,188322.2179,207187.3553,225830.0115,230333.2676,225791.5991,225396.6155,225889.4469,225557.0955,224592.3804,220873.1976,225121.4489,233876.6726,243537.0955,252751.346,265862.9022,277602.7961,285834.8267,300548.1123,296752.7637,301036.6606,90.0,AK,90.0,2019.0,12.6,3.4200000000000004,3.28,17.0,29.4,18.0,22.2,22145.2,30353.8,72.94,98.2,9.84,23.2,4288.8
AK,100,4898,9011,363680,AK,2100.0,112590.46167970588,121476.34011203652,128755.47189233273,136777.27748262146,147539.4111473646,163395.98437639192,176300.35520206686,178772.66299898538,170502.3678870625,151362.54904166746,145033.36813315458,138603.11027973524,135661.35773241863,140368.49706510294,146206.87981879077,152223.91653387426,152894.89475113017,158926.36111800338,167502.01380152276,175436.00027013305,187249.80866999668,284891.8249,315908.794,298008.7765,294193.3742,100.0,AK,100.0,2019.0,13.2,3.44,3.4,17.0,26.6,19.2,20.6,435.0,610.0,71.3,2.4,9.48,22.0,157.8
AK,105,3705,7295,214488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,105.0,2019.5,17.5,4.225,4.0,22.0,31.5,20.0,18.75,210.0,435.0,48.675,0.0,0.0,20.25,172.5
AK,110,64498,124406,5759018,AK,2110.0,112590.46167970588,121476.34011203652,128755.47189233273,136777.27748262146,147539.4111473646,288122.4265,311470.7913,316694.4594,315279.2609,312792.6101,311104.3956,312774.4295,323010.7622,342495.6297,352534.8944,371273.2046,382412.0595,390606.2626,400703.1967,403704.8886,410297.1629,438899.8884,472640.2058,471557.8351,484183.0796,110.0,AK,110.0,2019.0,11.6,3.2600000000000002,3.3200000000000003,17.0,28.0,15.6,22.2,7000.4,9225.2,75.96000000000001,54.0,16.68,13.8,1666.6
