Year,FIPS,State,County,Fair_Poor_Health_Perc,Phys_Unhealth_Days,Ment_Unhealth_Days,Smoke_Perc,Obese_Perc,Phys_Inac_Perc,Excess_Drink_Perc,Some_College_Perc_25_44,Some_Association_Per_10K,Some_Association_Rate,Severe_Housing_Perc,Insufficent_Sleep_Perc,Population,Zillow_Value,cluster
2021,1001,Alabama,Autauga,19.84,4.5,4.85,19.81,33.0,30.6,14.47,60.0,68,12.23,13.63,38.44,55869,202271.0579,40
2021,1003,Alabama,Baldwin,16.46,3.65,4.77,18.51,30.0,24.7,18.74,67.0,229,10.5,13.0,36.38,223234,316701.4659,67
2021,1005,Alabama,Barbour,29.84,5.57,5.59,25.53,41.2,28.0,12.47,36.0,19,7.64,13.71,40.89,24686,134731.1156,29
2021,1007,Alabama,Bibb,23.85,4.89,5.27,23.08,37.4,33.4,15.42,40.0,19,8.48,9.26,40.11,22394,172040.2387,49
2021,1009,Alabama,Blount,21.99,4.99,5.36,22.95,33.0,33.3,15.83,56.0,45,7.78,10.13,38.85,57826,198884.2688,49
2021,1011,Alabama,Bullock,31.44,5.51,5.39,24.91,46.6,42.4,11.75,32.0,8,7.89,20.3,44.65,10101,99155.09354,38
2021,1013,Alabama,Butler,27.89,5.39,5.72,22.83,46.8,40.3,12.56,40.0,19,9.65,11.84,41.97,19448,105365.326,47
2021,1015,Alabama,Calhoun,23.66,4.9,5.68,21.23,39.7,31.1,13.72,59.0,163,14.26,12.59,38.27,113605,143049.3588,14
2021,1017,Alabama,Chambers,25.07,5.03,5.47,23.22,42.3,28.7,13.67,50.0,61,18.15,14.86,40.51,33254,118385.9225,48
2021,1019,Alabama,Cherokee,22.89,4.91,5.57,23.56,38.4,30.4,15.94,48.0,22,8.45,11.67,37.86,26196,199502.5677,49
2021,1021,Alabama,Chilton,24.15,4.93,5.47,23.43,41.9,33.3,14.5,40.0,66,14.95,14.64,38.73,44428,182086.6431,48
2021,1025,Alabama,Clarke,26.79,5.33,5.58,24.34,36.1,40.5,13.81,41.0,38,15.89,12.81,42.7,23622,136538.5126,3
2021,1027,Alabama,Clay,25.2,5.14,5.65,25.23,37.3,33.8,15.56,34.0,15,11.3,9.55,38.85,13235,130533.9254,59
2021,1029,Alabama,Cleburne,22.82,4.9,5.47,24.09,34.0,26.0,15.67,46.0,11,7.34,12.73,38.24,14910,187254.9686,44
2021,1031,Alabama,Coffee,21.53,4.57,4.82,21.38,36.7,31.6,15.73,64.0,72,13.87,10.63,37.4,52342,163310.6281,40
2021,1033,Alabama,Colbert,21.66,4.59,5.27,22.04,37.0,35.0,15.66,53.0,92,16.8,13.58,39.82,55241,150405.6118,10
